number,set_keywords,keywords,sentence,postcard,postcard_zh
0,"evening, no person, composure, vacation, travel, water, sea, relaxation, bikini","vacation, evening, no person, vacation, travel, composure, bikini, sea, water, relaxation","
This photo was taken in the evening during vacation. There is no person in the photo, just the view of the sea and water. Thephoto gives a sense of relaxation and travel.","
Hi friends,

I hope you're all doing well! I'm currently on vacation and having a great time. I'm spending my evenings relaxing and enjoying the peace and quiet. It's been really nice not having to worry about anyone or anything.

I've been doing a lot of traveling lately and I've been able to see some amazing places. I've been able to keep my composure even when things have gotten a little bit chaotic. I'm really looking forward to the rest of my vacation and hopefully I'll be able to relax even more.

I'm currently sitting on the beach, wearing my bikini and enjoying the sea and the water. It's so nice to just be able to relax and not have to worry about anything. I hope you're all having a great day and I can't wait to hear from you soon.

Take care!","嗨，朋友們， 

 希望你們都過得很好！ 我目前正在度假，度過了愉快的時光。 我的夜晚放鬆，享受和平與寧靜。 不必擔心任何人或任何事物真是太好了。 

 我最近一直在做很多旅行，並且能夠看到一些了不起的地方。 即使事情變得有些混亂，我也能保持鎮定。 我真的很期待我的休假，希望我能夠得到更多的放鬆。 

 我目前坐在海灘上，穿比基尼，享受大海和水。 能夠放鬆並且不必擔心任何事情真是太好了。 希望你們都過得愉快，我迫不及待想盡快收到您的來信。 

 小心！"
1,"sea, landscape, island, beach","island, landscape, beach, sea","
The photo is of an island with a beach and sea in the background.","
Hi friends,

I hope you're all doing well! I'm currently on an amazing island and the landscape is absolutely stunning. The beaches here are perfect and the sea is so blue. I'm having an amazing time and I can't wait to come back home and tell you all about it!

Lots of love,

Your Friend","嗨，朋友們， 

 希望你們都過得很好！ 我目前在一個令人驚嘆的島嶼上，景觀絕對令人驚嘆。 這裡的海灘很完美，大海是如此藍。 我度過了愉快的時光，我迫不及待想回家告訴大家！ 

 滿滿的愛， 

 你的朋友"
2,"travel, water, sea, summer, sun","sun, sea, summer, travel, water","
This photo was taken in the summertime near the sea. The sun is shining and the water looks very inviting. It's the perfect photo to inspire someone to travel and explore.","
Hi friends, 

I hope you're all doing well! I'm currently traveling and soaking up the sun. I'm missing all of you and can't wait to hear about what you've been up to. I hope you all get to enjoy the summer and travel as much as I am. There's nothing like a refreshing dip in the water to cool off from the heat.

Hope to hear from you soon!","嗨，朋友們， 

 希望你們都過得很好！ 我目前正在旅行並吸收陽光。 我想念你們所有人，迫不及待想听聽您的最新動態。 我希望大家都能享受夏天，並像我一樣旅行。 沒有什麼比在水中清爽的蘸料更能從熱量中冷卻了。 

 希望早日收到你的消息！"
3,"sunset, travel, island","travel, island, sunset","
This photo is of an island at sunset, most likely taken while traveling. The colors in the sky are beautiful, and the water looks calm and refreshing.","
Dear Friends,

I hope all is well with you. I'm currently traveling and am having a blast. I've been to so many amazing places and have seen some incredible sunsets. My favorite spot has been the island. It's just so beautiful here. I can't wait to come back and share all my photos with you.

Take care,

Your Friend","親愛的朋友們， 

 我希望你一切安好。 我目前正在旅行，正在爆炸。 我去過很多了不起的地方，看到了一些令人難以置信的日落。 我最喜歡的地方是島嶼。 這裡真漂亮。 我等不及要回來與您分享我的所有照片。 

 小心， 

 你的朋友"
4,"landscape, water, lifestyle, surfboarding","lifestyle, landscape, water, surfboarding","
This is a photo of a surfer riding a wave. The surfboard is brightly colored, and the water is a deep blue. The surfer is enjoying the sunny day and the beautiful landscape.","
Hi friends,

I hope you're all doing well! I'm having an amazing time here in California. The weather is perfect and the landscape is beautiful. I've been spending a lot of time at the beach, and I've even started surfboarding! It's so much fun.

I miss you all and can't wait to see you soon.

Love,

Your Friend","嗨，朋友們， 

 希望你們都過得很好！ 我在加利福尼亞度過了愉快的時光。 天氣是完美的，風景很美。 我一直在海灘上度過很多時間，甚至開始衝浪！ 很有趣。 

 我想念大家，等不及要盡快見到你。 

 愛， 

 你的朋友"
5,"water, summer, sunset, sky, relaxation, tropical","sky, tropical, sunset, relaxation, water, summer","
Tropical sunset over water. The sky is a gradient of orange and pink, with the sun just peeking out from behind the horizon. The water is still and reflective, adding to the feeling of relaxation. Perfect for summertime.","
Hi friends!

I hope you're all doing well! I'm currently in a tropical location and the sunset is so beautiful! I'm really enjoying the relaxation and the water. It feels like summer all year round here!","嗨，朋友們！ 

 希望你們都過得很好！ 我目前在熱帶地點，日落是如此美麗！ 我真的很喜歡放鬆和水。 感覺就像是整年夏天！"
6,"nature, sky, composure","nature, composure, sky, sky, nature","
This photo seems to be of nature, with a lot of composure. The sky is a beautiful blue, and there seems to be a lot of nature surrounding the photo.","

Dear Friends, 

I hope all is well with you. I've been doing very well lately. I've been spending a lot of time outdoors and it's been doing me a lot of good. I feel much more connected to nature now and I'm very thankful for that. I'm also grateful for the peace and composure that the outdoors brings me. It's been a very good change for me.

The sky has been absolutely beautiful lately. I've been really enjoying watching it. The colors are so vibrant and it's just so calming. I could stare at it for hours. I'm really glad I took the time to appreciate it.

Nature is just so incredible. I'm in awe of it every day. I'm so glad I made the decision to spend more time in it. It's definitely been worth it.

Take care,

[Your Name]","親愛的朋友們， 

 我希望你一切安好。 我最近做得很好。 我一直在戶外度過很多時間，這對我來說已經很多了。 我現在感覺到與自然的聯繫更加緊密，我非常感謝。 我也感謝戶外帶給我的和平與鎮定。 對我來說，這是一個很好的變化。 

 最近的天空絕對是美麗的。 我一直很喜歡看它。 顏色是如此的鮮豔，非常平靜。 我可以凝視它幾個小時。 我真的很高興我花時間欣賞它。 

 大自然真是不可思議。 我每天都對此感到敬畏。 我很高興我決定花更多的時間在其中。 絕對值得。 

 小心， 

 [你的名字]"
7,"sand, composure, leisure, surf, sea, relaxation, tropical","tropical, composure, relaxation, leisure, surf, sand, sea","
This is a photo of a tropical beach with the surf and sand in the foreground, and the sea in the background. The person in the photo looks relaxed and seems to be enjoying themselves, possibly on a leisurely vacation.","

Hi friends!

I'm having the best time ever in this tropical paradise! The weather is perfect and I'm feeling so relaxed and at peace. I've been spending my days lounging on the beach, surfing, and exploring the area. This is truly a place to come for some rest and relaxation. The surf, sand, and sea are amazing! I can't wait to share more pictures and stories with you all when I get back.

Hope you're all doing well!

 Tropical hugs,
Your Friend","嗨，朋友們！ 

 我在這個熱帶天堂裡度過了最美好的時光！ 天氣很完美，我感到非常放鬆和安寧。 我一直在花時間在海灘上閒逛，衝浪和探索該地區。 這確實是一個休息和放鬆的地方。 衝浪，沙子和大海很棒！ 我迫不及待地想在回來時與大家分享更多圖片和故事。 

 希望你們都過得很好！ 

  熱帶擁抱， 
 你的朋友"
8,"sea, nature, sky, seascape","sky, sea, nature, seascape","
This photo features a beautiful blue sky and sea, with some nature elements in the foreground. It's a stunning seascape that makes you feel like you're in another world.","
My friends, 

I hope all is well by you. I'm currently enjoying the most amazing views of the sky, sea, and nature. The seascape is breathtaking and I'm so lucky to be here. I wish you were all here with me to enjoy it.

All the best, 

Your Friend","我的朋友， 

 我希望你一切都好。 我目前正在欣賞天空，海洋和自然界最奇妙的景色。 海景令人嘆為觀止，我很幸運能在這裡。 我希望你們都在這裡享受它。 

 一切順利， 

 你的朋友"
9,"sea, water, ocean","sea, water, water, ocean","
This photo shows the sea with water in the ocean.","
Dear Friends, 

The sea is a beautiful and mesmerizing place. The water is so blue and 
clear and the ocean is so vast and endless. I love the sea and I'm so 
grateful to have been able to experience its wonders.","親愛的朋友們， 

 大海是一個美麗而令人著迷的地方。 水是如此藍色， 
 透明，海洋是如此巨大而無盡。 我愛大海，我是如此 
 感謝能夠體驗其奇蹟。"
